Identificador,Calificación,Indicador de Aprobación
2102,0,R
2103,0.1,R
2104,0.2,R
2105,0.3,R
2106,0.4,R
2107,0.5,R
2108,0.6,R
2109,0.7,R
2110,0.8,R
2111,0.9,R
2112,1,R
2113,1.1,R
2114,1.2,R
2115,1.3,R
2116,1.4,R
2117,1.5,R
2118,1.6,R
2119,1.7,R
2120,1.8,R
2121,1.9,R
2122,2,R
2123,2.1,R
2124,2.2,R
2125,2.3,R
2126,2.4,R
2127,2.5,R
2128,2.6,R
2129,2.7,R
2130,2.8,R
2131,2.9,R
2132,3,R
2133,3.1,R
2134,3.2,R
2135,3.3,R
2136,3.4,R
2137,3.5,R
2138,3.6,R
2139,3.7,R
2140,3.8,R
2141,3.9,R
2142,4,R
2143,4.1,R
2144,4.2,R
2145,4.3,R
2146,4.4,R
2147,4.5,R
2148,4.6,R
2149,4.7,R
2150,4.8,R
2151,4.9,R
2152,5,R
2153,5.1,R
2154,5.2,R
2155,5.3,R
2156,5.4,R
2157,5.5,R
2158,5.6,R
2159,5.7,R
2160,5.8,R
2161,5.9,R
2162,6,A
2163,6.1,A
2164,6.2,A
2165,6.3,A
2166,6.4,A
2167,6.5,A
2168,6.6,A
2169,6.7,A
2170,6.8,A
2171,6.9,A
2172,7,A
2173,7.1,A
2174,7.2,A
2175,7.3,A
2176,7.4,A
2177,7.5,A
2178,7.6,A
2179,7.7,A
2180,7.8,A
2181,7.9,A
2182,8,A
2183,8.1,A
2184,8.2,A
2185,8.3,A
2186,8.4,A
2187,8.5,A
2188,8.6,A
2189,8.7,A
2190,8.8,A
2191,8.9,A
2192,9,A
2193,9.1,A
2194,9.2,A
2195,9.3,A
2196,9.4,A
2197,9.5,A
2198,9.6,A
2199,9.7,A
2200,9.8,A
2201,9.9,A
2202,10,A
2204,N/P,-
2206,S/D,-
