Identificador,Plantel
136894170,238-ESCUELA DE ARTES ESCENICAS
20191677,401-INSTITUTO DE CIENCIAS AGROPECUARIAS Y RURALES
24770576,402-INSTITUTO DE ESTUDIOS SOBRE LA UNIVERSIDAD
176713266,403-CENTRO DE ESTUDIOS E INVESTIGACION EN DESARROLL...
187035640,404-CENTRO DE INVESTIGACION MULTIDISCIPLINARIA EN E...
198265936,405-INSTITUTO INTERAMERICANO DE TECNOLOGIA Y CIENCI...
185637720,407-BIBLIOTECA CENTRAL (DIRECCION DE TECNOLOGIAS DE...
192737511,501-COORDINACION GENERAL DE ESTUDIOS SUPERIORES
3790,000-UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO
3912,201-FACULTAD DE ODONTOLOGIA
3913,202-FACULTAD DE MEDICINA
3914,203-FACULTAD DE ENFERMERIA Y OBSTETRICIA
3915,204-FACULTAD DE QUIMICA
3916,205-FACULTAD DE INGENIERIA
3917,206-FACULTAD DE ARQUITECTURA Y DISEÑO
3918,207-FACULTAD DE DERECHO
3919,208-FACULTAD DE CONTADURIA Y ADMINISTRACION
3920,209-FACULTAD DE HUMANIDADES
3921,210-FACULTAD DE CIENCIAS POLITICAS Y SOCIALES
3922,211-FACULTAD DE ECONOMIA
3923,212-FACULTAD DE GEOGRAFIA
3924,213-FACULTAD DE CIENCIAS AGRICOLAS
3925,214-FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA
3926,215-FACULTAD DE CIENCIAS DE LA CONDUCTA
3927,216-FACULTAD DE TURISMO Y GASTRONOMIA
3928,217-FACULTAD DE ANTROPOLOGIA
3929,218-FACULTAD DE PLANEACION URBANA Y REGIONAL
3932,221-FACULTAD DE CIENCIAS
3934,223-FACULTAD DE LENGUAS
3937,226-FACULTAD DE ARTES
182311497,997-FACULTAD DE CONTADURIA LOS URIBE
3944,"301-PLANTEL ""LIC. ADOLFO LOPEZ MATEOS"" DE LA ESCUEL..."
3945,"302-PLANTEL ""NEZAHUALCOYOTL"" DE LA ESCUELA PREPARAT..."
