Identificador,Periodo
271266972,2025A
267657278,DGL25
264240791,DGM25
278716653,ALTERNO
262805468,2024B
271529682,24B-C
263673328,DAN24
263673283,DYO24
262654980,DAO24
256711659,2024A
271623032,DOL24
262224098,24A-C
250942555,2023B
244373117,2023A
250421402,23A-C
251581084,DSY23
243855294,22B-C
238194373,2022B
237691026,22A-C
231407745,2022A
226308210,2021B
231949792,21B-C
226914758,2021J
221253629,2021A
225920044,21A-C
221339821,20B-C
216273206,2020B
210555800,2020A
216275560,20A-C
203086729,2019B
208825149,19B-C
203493186,2019J
196971353,2019A
202308521,19A-C
196413394,18B-C
191804194,2018B
189743550,18A-C
192060851,2018J
186843182,2018A
181240557,2017B
186386855,17B-C
176086319,2017A
181215018,17A-C
182303239,2017J
170697462,2016B
175989631,16B-C
165623381,2016A
170705145,16A-C
171459914,2016J
33646217,2015B
165267128,15B-C
160303895,2015J
150498671,2015A
158882960,15A-C
147876406,14B-C
132337308,2014B
132103799,14A-C
135080552,2014J
35726169,2014A
104799029,13B-C
91594110,2013B
92537002,2013J
45892414,2013A
88909390,13A-C
45704295,12B-C
38866108,2012B
39321644,2012J
33778463,2012A
38867484,12A-C
33580062,11B-C
28350117,2011B
24264038,2011A
31272002,2011J
21706855,2010B
24425086,10B-C
22239641,2010J
21927329,10A-C
16979630,2010A
11698877,2009B
12621107,2009J
10120890,2009A
10969857,2008D
6488009,2008B
13796049,DAG08
8711156,2008J
4596192,2008A
13796050,DEA08
5446,2007B
1554023,2007A
5497,2006B
13796067,DAG06
5492,2006A
13798002,DNA06
5448,2005B
13797002,DYO05
5044,2005A
13796061,DNA05
4946,2004B
13796065,DGN04
13796054,DYO04
13796064,DMS04
4945,2004A
13796056,DYG04
13796062,DNA04
13796066,DDA04
4942,2003B
13796057,DSF04
13796058,DSD03
13796055,DYO03
4941,2003A
13796063,DNA03
4937,2002B
5171,DSF03
5022,DLN02
5175,DYO02
4936,2002A
5023,DMG02
5016,DFL02
5025,DML02
5014,DEJ02
5029,DNA02
5015,DEM02
4930,2001B
5017,DGE02
5286,SEGURIDAD
5170,DSD01
5174,DYO01
5021,DJG01
4929,2001A
5172,DYG01
5028,DNA01
5168,DOA01
4922,2000B
5173,DYO00
4921,2000A
5026,DMS00
5020,DJG00
5024,DMJ00
5027,DNA00
5410,1999B
5169,DOF00
5192,DYO99
5019,DGO99
5409,1999A
5166,DNA99
5393,1998B
5167,DNF99
5018,DGN98
5191,DYO98
5392,1998A
5165,DNA98
5377,1997B
5190,DYO97
5376,1997A
5362,1996B
5164,DNA97
5189,DYO96
5361,1996A
5163,DNA96
5344,1995B
5188,DYO95
5343,1995A
5326,1994B
5162,DNA95
5187,DYO94
5325,1994A
5310,1993B
5161,DNA94
5186,DYO93
5309,1993A
4904,1992B
5160,DNA93
5185,DYO92
4903,1992A
5159,DNA92
4890,1991B
5184,DYO91
4889,1991A
5158,DNA91
4877,1990B
5183,DYO90
4876,1990A
5037,DNA90
4865,1989B
5182,DYO89
4864,1989A
5036,DNA89
4853,1988B
5181,DYO88
4852,1988A
5035,DNA88
4845,1987B
5180,DYO87
4844,1987A
5034,DNA87
4836,1986B
5179,DYO86
4835,1986A
5033,DNA86
4826,1985B
5178,DYO85
4825,1985A
5032,DNA85
4818,1984B
4813,1984
5177,DYO84
4817,1984A
5031,DNA84
4810,1983B
4805,1983
5176,DYO83
4809,1983A
4801,1982B
5030,DNA83
4796,1982
13796051,DYO82
4800,1982A
13796059,DNA82
4792,1981B
4787,1981
13796052,DYO81
4791,1981A
13796060,DNA81
4779,1980
4784,1980B
13796053,DYO80
4783,1980A
4775,1979
4778,1979B
4777,1979A
4772,1978
4774,1978B
4773,1978A
4769,1977
4771,1977B
4770,1977A
4766,1976B
4764,1976
4763,1975B
4761,1975
4762,1975A
4760,1974B
4755,1973
4757,1973B
184716223,1972
4756,1973A
4754,1972B
184716221,1971
4747,1970
4746,1969
5157,1968
14100005,1968B
149250450,1967B
186959782,1966B
186959780,1965B
28163126,1964B
14100004,1963B
14100003,1961B
14100002,1959
28351289,1954B
